subject,tr,roi,pearson_r,r2,permutation_p,bootstrap_low,bootstrap_high
CSI1,TR34,LHEarlyVis,0.054201,-0.000553,0.000999,0.033821,0.079380
CSI1,TR34,RHEarlyVis,0.047897,-0.002752,0.000999,0.020456,0.075410
CSI1,TR34,LHLOC,0.087372,0.004098,0.000999,0.048489,0.119012
CSI1,TR34,RHLOC,0.083594,0.005704,0.000999,0.049749,0.113549
CSI1,TR34,LHPPA,0.122960,0.010946,0.000999,0.096708,0.153390
CSI1,TR34,RHPPA,0.136080,0.014850,0.000999,0.107063,0.166586
CSI2,TR34,LHEarlyVis,0.009795,-0.007378,0.168831,-0.011921,0.029078
CSI2,TR34,RHEarlyVis,0.020419,-0.005789,0.001998,-0.007106,0.043153
CSI2,TR34,LHLOC,0.080791,0.002747,0.000999,0.046067,0.111219
CSI2,TR34,RHLOC,0.071293,0.002532,0.000999,0.041204,0.099083
CSI2,TR34,LHPPA,0.153715,0.016143,0.000999,0.110763,0.199067
CSI2,TR34,RHPPA,0.141853,0.014808,0.000999,0.102649,0.178551
CSI3,TR34,LHEarlyVis,0.015391,-0.009557,0.041958,-0.007991,0.044495
CSI3,TR34,RHEarlyVis,0.006050,-0.007873,0.255744,-0.012979,0.023545
CSI3,TR34,LHLOC,0.068736,0.003668,0.000999,0.041651,0.090152
CSI3,TR34,RHLOC,0.080083,0.004803,0.000999,0.057093,0.105096
CSI3,TR34,LHPPA,0.150694,0.016148,0.000999,0.118937,0.186532
CSI3,TR34,RHPPA,0.102465,0.006729,0.000999,0.072019,0.129660
CSI4,TR3,LHEarlyVis,0.035582,-0.004602,0.024975,0.019188,0.056448
CSI4,TR3,RHEarlyVis,0.035771,-0.006733,0.003996,0.018170,0.055811
CSI4,TR3,LHLOC,0.064785,-0.000259,0.000999,0.046329,0.083536
CSI4,TR3,RHLOC,0.071379,0.000199,0.000999,0.047283,0.089835
CSI4,TR3,LHPPA,0.082046,0.002104,0.000999,0.054922,0.108658
CSI4,TR3,RHPPA,0.073110,-0.001364,0.000999,0.044791,0.104856
