kind,mean_abs_activation,mean_activation,response_present,response_shape,std_activation,stimulus_id,suite
static_image_clip,0.10267022870072628,-0.07553174165998418,True,2x20484,0.1480017221670909,image_activation:color_gradient:static,image_activation
static_image_clip,,,False,,,image_activation:geometric_scene:static,image_activation
static_image_clip,,,False,,,image_activation:textured_diagonal:static,image_activation
blank,,,False,,,visual_controls:blank,visual_controls
gray,,,False,,,visual_controls:gray,visual_controls
checker,,,False,,,visual_controls:checker,visual_controls
noise,,,False,,,visual_controls:noise,visual_controls
simple_shape,,,False,,,visual_controls:simple_shape,visual_controls
grayscale,,,False,,,visual_perturbations:color_gradient:grayscale,visual_perturbations
blur,,,False,,,visual_perturbations:color_gradient:blur,visual_perturbations
contrast,,,False,,,visual_perturbations:color_gradient:contrast,visual_perturbations
crop,,,False,,,visual_perturbations:color_gradient:crop,visual_perturbations
scramble,,,False,,,visual_perturbations:color_gradient:scramble,visual_perturbations
edge,,,False,,,visual_perturbations:color_gradient:edge,visual_perturbations
grayscale,,,False,,,visual_perturbations:geometric_scene:grayscale,visual_perturbations
blur,,,False,,,visual_perturbations:geometric_scene:blur,visual_perturbations
contrast,,,False,,,visual_perturbations:geometric_scene:contrast,visual_perturbations
crop,,,False,,,visual_perturbations:geometric_scene:crop,visual_perturbations
scramble,,,False,,,visual_perturbations:geometric_scene:scramble,visual_perturbations
edge,,,False,,,visual_perturbations:geometric_scene:edge,visual_perturbations
grayscale,,,False,,,visual_perturbations:textured_diagonal:grayscale,visual_perturbations
blur,,,False,,,visual_perturbations:textured_diagonal:blur,visual_perturbations
contrast,,,False,,,visual_perturbations:textured_diagonal:contrast,visual_perturbations
crop,,,False,,,visual_perturbations:textured_diagonal:crop,visual_perturbations
scramble,,,False,,,visual_perturbations:textured_diagonal:scramble,visual_perturbations
edge,,,False,,,visual_perturbations:textured_diagonal:edge,visual_perturbations
static,,,False,,,temporalization:color_gradient:static,temporalization
pan_zoom,,,False,,,temporalization:color_gradient:pan_zoom,temporalization
montage,,,False,,,temporalization:color_gradient:montage,temporalization
static,,,False,,,temporalization:geometric_scene:static,temporalization
pan_zoom,,,False,,,temporalization:geometric_scene:pan_zoom,temporalization
montage,,,False,,,temporalization:geometric_scene:montage,temporalization
static,,,False,,,temporalization:textured_diagonal:static,temporalization
pan_zoom,,,False,,,temporalization:textured_diagonal:pan_zoom,temporalization
montage,,,False,,,temporalization:textured_diagonal:montage,temporalization
silence,,,False,,,audio_controls:silence,audio_controls
tone_440hz,,,False,,,audio_controls:tone_440hz,audio_controls
chirp,,,False,,,audio_controls:chirp,audio_controls
pink_noise,,,False,,,audio_controls:pink_noise,audio_controls
