base_id,kind,modality,pair_id,parent_id,response_present,role,sha256,stimulus_id,suite
color_gradient,static_image_clip,video,,,True,baseline,acef0ba7863d9307389b7dafb0855e156e2ae7453e68e0dc9c9507ab951ddd73,image_activation:color_gradient:static,image_activation
geometric_scene,static_image_clip,video,,,False,baseline,90c3bd4977c3347abddb4155a0908bb2128d844b4acfbfb24687824e44a507c1,image_activation:geometric_scene:static,image_activation
textured_diagonal,static_image_clip,video,,,False,baseline,25f67e64046ec5b30b270784dca89081a012ec22bbaf97b76af8945813647fae,image_activation:textured_diagonal:static,image_activation
,blank,video,,,False,control,e4b23317ae19fe8eadbee17908fbbd1de1e3699e32ab186078be904fd526b089,visual_controls:blank,visual_controls
,gray,video,,,False,control,3606a9e42b2b1d5d241803ab02ca2b1402e7889ea6012e90967e8653fdd66d7d,visual_controls:gray,visual_controls
,checker,video,,,False,control,473b8a1b8561bd084c8b0a5b15f9c42b1d205c4782119da1c0787053bfc76733,visual_controls:checker,visual_controls
,noise,video,,,False,control,dc36e0eee4ae46d64b10798d3b08b83b474c0e9e6a3291081cdac69779649903,visual_controls:noise,visual_controls
,simple_shape,video,,,False,control,830cad129c369e9ec837b65ba36dd004933a7eddf325f876135daf85c6f84add,visual_controls:simple_shape,visual_controls
color_gradient,grayscale,video,,image_activation:color_gradient:static,False,perturbation,ff2e17cada2615bf04c13b4e55aa6cb3922afb249e0648f8f2d2f2193d34c020,visual_perturbations:color_gradient:grayscale,visual_perturbations
color_gradient,blur,video,,image_activation:color_gradient:static,False,perturbation,e6f7eaaf7d3d3ea1f94a9bd907a61620592cceba1de4e6df761b7a305aa53fe6,visual_perturbations:color_gradient:blur,visual_perturbations
color_gradient,contrast,video,,image_activation:color_gradient:static,False,perturbation,7af6f64ee4d659b31092549df6d50048a8d28c76d297a11de5e5b875f0e3a798,visual_perturbations:color_gradient:contrast,visual_perturbations
color_gradient,crop,video,,image_activation:color_gradient:static,False,perturbation,2edf1db4ed0820643feb990fd152075389612482eb6da30c0e27563984ba825a,visual_perturbations:color_gradient:crop,visual_perturbations
color_gradient,scramble,video,,image_activation:color_gradient:static,False,perturbation,d1ef07b5f9526823cae5d2bb9e6698024035e42a833313068dd51734373bf624,visual_perturbations:color_gradient:scramble,visual_perturbations
color_gradient,edge,video,,image_activation:color_gradient:static,False,perturbation,bdedeb57b06738fa68529b7f73db5c4ddc5021fcc1c9da1d413565d74dc16709,visual_perturbations:color_gradient:edge,visual_perturbations
geometric_scene,grayscale,video,,image_activation:geometric_scene:static,False,perturbation,e8eb8da353fedf5a1f0e415fc851940ce3389c8f0547a06d2195890dd3f6a5b5,visual_perturbations:geometric_scene:grayscale,visual_perturbations
geometric_scene,blur,video,,image_activation:geometric_scene:static,False,perturbation,b21d6269ad660cf77ef769700b86da52663c2449d245894c5ed28111a502b3b8,visual_perturbations:geometric_scene:blur,visual_perturbations
geometric_scene,contrast,video,,image_activation:geometric_scene:static,False,perturbation,0bb93a12cb64c23cca46e290e0517e21253c483b8ed6c2568dfc54ed59fbee43,visual_perturbations:geometric_scene:contrast,visual_perturbations
geometric_scene,crop,video,,image_activation:geometric_scene:static,False,perturbation,e5ad59959b1a11dc3c7016c9d8b5f50dd7368b265faf93fc055090324cfbedfa,visual_perturbations:geometric_scene:crop,visual_perturbations
geometric_scene,scramble,video,,image_activation:geometric_scene:static,False,perturbation,032a3dc70e885c6800d4e9976a52eba6b6d463549e53e0a279140641a0fdf5fd,visual_perturbations:geometric_scene:scramble,visual_perturbations
geometric_scene,edge,video,,image_activation:geometric_scene:static,False,perturbation,7173ba754d3ef305e832dfd53668d78b37257526a554150db4c086e1ec2036eb,visual_perturbations:geometric_scene:edge,visual_perturbations
textured_diagonal,grayscale,video,,image_activation:textured_diagonal:static,False,perturbation,033fe7ea50bd355098c529923160086ca31fb8acf8e5862a0dd1dbe261431c3c,visual_perturbations:textured_diagonal:grayscale,visual_perturbations
textured_diagonal,blur,video,,image_activation:textured_diagonal:static,False,perturbation,6c2385686cd6b35cbe39001df467e24dd3a31c88964d67ee778ab62de1193b85,visual_perturbations:textured_diagonal:blur,visual_perturbations
textured_diagonal,contrast,video,,image_activation:textured_diagonal:static,False,perturbation,04c58fc4633375eebd1e3f02fa15821d7294e3564b33bf7727efc362a3ae150b,visual_perturbations:textured_diagonal:contrast,visual_perturbations
textured_diagonal,crop,video,,image_activation:textured_diagonal:static,False,perturbation,014571ade924aaec78207685412a7f448912085f1ab11bf773fa72bb9fa9495a,visual_perturbations:textured_diagonal:crop,visual_perturbations
textured_diagonal,scramble,video,,image_activation:textured_diagonal:static,False,perturbation,9b70d69d7a50d45f583024fc55178e47c1ace21c6158ebf401a0353ac8193f4f,visual_perturbations:textured_diagonal:scramble,visual_perturbations
textured_diagonal,edge,video,,image_activation:textured_diagonal:static,False,perturbation,2c42cdc338341f1cd0c8492855cde1da789ce8131d6e4c243dcce5334d36f199,visual_perturbations:textured_diagonal:edge,visual_perturbations
color_gradient,static,video,,image_activation:color_gradient:static,False,temporalization,acef0ba7863d9307389b7dafb0855e156e2ae7453e68e0dc9c9507ab951ddd73,temporalization:color_gradient:static,temporalization
color_gradient,pan_zoom,video,,image_activation:color_gradient:static,False,temporalization,6cfd4ca2a3f94265e1b9b4229440bf51faa9a09bc46c94876f796fe7404c228e,temporalization:color_gradient:pan_zoom,temporalization
color_gradient,montage,video,,image_activation:color_gradient:static,False,temporalization,7744f422aa928432547933e10426bbae4c5e9679e60316c003aa80f5b89e573a,temporalization:color_gradient:montage,temporalization
geometric_scene,static,video,,image_activation:geometric_scene:static,False,temporalization,90c3bd4977c3347abddb4155a0908bb2128d844b4acfbfb24687824e44a507c1,temporalization:geometric_scene:static,temporalization
geometric_scene,pan_zoom,video,,image_activation:geometric_scene:static,False,temporalization,503b6314c62b28cebbc420fee35f8631484ed12926825aabe20bbcb64081feae,temporalization:geometric_scene:pan_zoom,temporalization
geometric_scene,montage,video,,image_activation:geometric_scene:static,False,temporalization,ca60f6c352d398ae5933d57023d86625fbd0c9c226583693eb7e44f6f101e73c,temporalization:geometric_scene:montage,temporalization
textured_diagonal,static,video,,image_activation:textured_diagonal:static,False,temporalization,25f67e64046ec5b30b270784dca89081a012ec22bbaf97b76af8945813647fae,temporalization:textured_diagonal:static,temporalization
textured_diagonal,pan_zoom,video,,image_activation:textured_diagonal:static,False,temporalization,79a819dfc375511c937c34c4e0e439d94a5deb038ed05d6f89b9ba54af092e4c,temporalization:textured_diagonal:pan_zoom,temporalization
textured_diagonal,montage,video,,image_activation:textured_diagonal:static,False,temporalization,9ec8daa648eaf03326c4782b77d538bf3f941b75131085571f0ea6707817054e,temporalization:textured_diagonal:montage,temporalization
,silence,audio,,,False,audio_control,20eaebffe1816e0ffa6f7f854f5ef4ea80d5349faaf0ce1fec1b713e7fde58fa,audio_controls:silence,audio_controls
,tone_440hz,audio,,,False,audio_control,33a24ca57427adf161a34ceb87b9fd6efcb661c387fd3091efdb66f7e2604e25,audio_controls:tone_440hz,audio_controls
,chirp,audio,,,False,audio_control,30d994c4ab8be5ceee37f917200dba46d14dadbcc709ef126ac0b2f737937b4a,audio_controls:chirp,audio_controls
,pink_noise,audio,,,False,audio_control,1dcb2b1697eb323dd494362ceb75988bb14c88c7c77ffd04bfaa95f0cb0450ef,audio_controls:pink_noise,audio_controls
